record_id,doi,title,year,venue,venue_type,ai_type,genai_llm_agentic_flag,tafs_final,csds_final,css_final,esrs_final,gap_a_final,gap_b_final,under_specified_final,evidence_depth_label,confidence_label,abstract_word_count,open_access,citation_count,layer
R0001,10.XXXX/hciai.2019.0001,"[Scored paper 1, 2019] Full titles available after pipeline run from OpenAlex",2019,IwC,journal,xai,false,1,1,1,3,false,false,false,L2,low,178,false,74,B_scored
R0002,10.XXXX/hciai.2019.0002,"[Scored paper 2, 2019] Full titles available after pipeline run from OpenAlex",2019,IJHCS,journal,llm,true,5,2,1,4,false,true,false,L2,high,340,false,35,B_scored
R0003,10.XXXX/hciai.2019.0003,"[Scored paper 3, 2019] Full titles available after pipeline run from OpenAlex",2019,HCI Journal,journal,conversational_ai,true,0,0,0,5,false,false,false,L2,low,213,true,16,B_scored
R0004,10.XXXX/hciai.2019.0004,"[Scored paper 4, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,xai,false,2,4,2,4,false,false,false,L2,medium,240,false,15,B_scored
R0005,10.XXXX/hciai.2019.0005,"[Scored paper 5, 2019] Full titles available after pipeline run from OpenAlex",2019,BIT,journal,agentic_ai,true,0,2,1,4,false,false,false,L2,low,102,false,20,B_scored
R0006,10.XXXX/hciai.2019.0006,"[Scored paper 6, 2019] Full titles available after pipeline run from OpenAlex",2019,DIS,conference,generative_ai,true,4,2,3,6,false,false,false,L2,high,180,false,22,B_scored
R0007,10.XXXX/hciai.2019.0007,"[Scored paper 7, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,llm,true,1,2,1,5,false,false,false,L2,low,143,false,44,B_scored
R0008,10.XXXX/hciai.2019.0008,"[Scored paper 8, 2019] Full titles available after pipeline run from OpenAlex",2019,UIST,conference,conversational_ai,true,0,1,3,4,false,false,true,L2,low,231,false,50,B_scored
R0009,10.XXXX/hciai.2019.0009,"[Scored paper 9, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,xai,false,4,1,2,4,false,false,false,L2,medium,169,false,70,B_scored
R0010,10.XXXX/hciai.2019.0010,"[Scored paper 10, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,agentic_ai,true,1,3,1,4,false,false,false,L2,low,300,false,63,B_scored
R0011,10.XXXX/hciai.2019.0011,"[Scored paper 11, 2019] Full titles available after pipeline run from OpenAlex",2019,UIST,conference,conversational_ai,true,5,2,1,3,false,true,false,L2,high,341,false,2,B_scored
R0012,10.XXXX/hciai.2019.0012,"[Scored paper 12, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,xai,false,0,2,2,5,false,false,false,L2,low,343,false,14,B_scored
R0013,10.XXXX/hciai.2019.0013,"[Scored paper 13, 2019] Full titles available after pipeline run from OpenAlex",2019,HCI Journal,journal,xai,false,0,2,2,4,false,false,false,L2,low,238,true,11,B_scored
R0014,10.XXXX/hciai.2019.0014,"[Scored paper 14, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,xai,false,1,1,3,4,false,false,false,L2,low,117,false,29,B_scored
R0015,10.XXXX/hciai.2019.0015,"[Scored paper 15, 2019] Full titles available after pipeline run from OpenAlex",2019,TOCHI,journal,llm,true,4,2,1,5,false,true,false,L2,high,284,true,8,B_scored
R0016,10.XXXX/hciai.2019.0016,"[Scored paper 16, 2019] Full titles available after pipeline run from OpenAlex",2019,IJHCS,journal,xai,false,1,1,0,4,false,false,false,L2,low,134,false,18,B_scored
R0017,10.XXXX/hciai.2019.0017,"[Scored paper 17, 2019] Full titles available after pipeline run from OpenAlex",2019,TOCHI,journal,generative_ai,true,5,1,1,4,false,true,false,L2,medium,365,true,83,B_scored
R0018,10.XXXX/hciai.2019.0018,"[Scored paper 18, 2019] Full titles available after pipeline run from OpenAlex",2019,IJHCS,journal,xai,false,0,3,1,4,false,false,false,L2,low,366,false,9,B_scored
R0019,10.XXXX/hciai.2019.0019,"[Scored paper 19, 2019] Full titles available after pipeline run from OpenAlex",2019,IUI,conference,unclassified,false,4,3,2,5,false,false,false,L2,high,338,false,0,B_scored
R0020,10.XXXX/hciai.2019.0020,"[Scored paper 20, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,unclassified,false,1,2,2,5,false,false,false,L2,low,310,true,0,B_scored
R0021,10.XXXX/hciai.2019.0021,"[Scored paper 21, 2019] Full titles available after pipeline run from OpenAlex",2019,IJHCS,journal,xai,false,2,1,1,4,false,false,false,L2,medium,202,true,71,B_scored
R0022,10.XXXX/hciai.2019.0022,"[Scored paper 22, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,unclassified,false,4,0,3,4,false,false,false,L2,medium,356,true,35,B_scored
R0023,10.XXXX/hciai.2019.0023,"[Scored paper 23, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,conversational_ai,true,2,3,3,4,false,false,false,L2,medium,292,false,49,B_scored
R0024,10.XXXX/hciai.2019.0024,"[Scored paper 24, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,xai,false,1,4,3,3,false,false,false,L2,low,379,false,12,B_scored
R0025,10.XXXX/hciai.2019.0025,"[Scored paper 25, 2019] Full titles available after pipeline run from OpenAlex",2019,IUI,conference,generative_ai,true,1,1,1,5,false,false,false,L2,low,260,true,30,B_scored
R0026,10.XXXX/hciai.2019.0026,"[Scored paper 26, 2019] Full titles available after pipeline run from OpenAlex",2019,IwC,journal,xai,false,0,3,1,3,false,false,false,L2,low,359,false,69,B_scored
R0027,10.XXXX/hciai.2019.0027,"[Scored paper 27, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,generative_ai,true,4,3,1,5,false,true,false,L2,high,279,true,2,B_scored
R0028,10.XXXX/hciai.2019.0028,"[Scored paper 28, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,agentic_ai,true,4,1,2,3,false,false,false,L2,medium,145,false,10,B_scored
R0029,10.XXXX/hciai.2019.0029,"[Scored paper 29, 2019] Full titles available after pipeline run from OpenAlex",2019,IUI,conference,llm,true,4,2,2,2,false,false,false,L2,high,122,false,5,B_scored
R0030,10.XXXX/hciai.2019.0030,"[Scored paper 30, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,unclassified,false,5,1,2,4,false,false,true,L2,medium,188,false,51,B_scored
R0031,10.XXXX/hciai.2019.0031,"[Scored paper 31, 2019] Full titles available after pipeline run from OpenAlex",2019,CSCW,conference,xai,false,1,3,2,3,false,false,false,L2,low,295,true,83,B_scored
R0032,10.XXXX/hciai.2019.0032,"[Scored paper 32, 2019] Full titles available after pipeline run from OpenAlex",2019,DIS,conference,generative_ai,true,1,0,1,4,false,false,false,L2,low,259,true,25,B_scored
R0033,10.XXXX/hciai.2019.0033,"[Scored paper 33, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,unclassified,false,0,0,2,6,false,false,false,L2,low,206,true,58,B_scored
R0034,10.XXXX/hciai.2019.0034,"[Scored paper 34, 2019] Full titles available after pipeline run from OpenAlex",2019,CHI,conference,generative_ai,true,5,2,1,4,false,true,false,L2,high,368,false,24,B_scored
