year,ai_type,n_papers,layer,venues,high_agency_n,gap_a_n
2019,agentic_ai,10,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,2,0
2019,llm,10,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,2,0
2019,generative_ai,10,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,2,0
2019,conversational,12,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,2,0
2019,xai,20,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,4,0
2019,classical_ml,0,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,0,0
2019,unclassified,10,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,2,0
2020,agentic_ai,5,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,1,0
2020,llm,11,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,3,0
2020,generative_ai,7,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,2,0
2020,conversational,11,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,3,0
2020,xai,14,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,4,0
2020,classical_ml,3,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,1,0
2020,unclassified,6,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,2,0
2021,agentic_ai,14,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,6,1
2021,llm,10,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,4,1
2021,generative_ai,12,B,CHI|CSCW|UIST|DIS|IUI|TOCHI|IJHCS|IwC|BIT|HCIJournal|IJHCI,5,1
