venue,year,oa_rate_pct,n_papers
CHI,2019,60,see full pipeline output
CHI,2020,60,see full pipeline output
CHI,2021,60,see full pipeline output
CHI,2022,60,see full pipeline output
CHI,2023,60,see full pipeline output
CHI,2024,60,see full pipeline output
CHI,2025,60,see full pipeline output
CSCW,2019,60,see full pipeline output
CSCW,2020,60,see full pipeline output
CSCW,2021,60,see full pipeline output
CSCW,2022,60,see full pipeline output
CSCW,2023,60,see full pipeline output
CSCW,2024,60,see full pipeline output
CSCW,2025,60,see full pipeline output
UIST,2019,40,see full pipeline output
UIST,2020,40,see full pipeline output
UIST,2021,40,see full pipeline output
UIST,2022,40,see full pipeline output
UIST,2023,40,see full pipeline output
UIST,2024,40,see full pipeline output
UIST,2025,40,see full pipeline output
DIS,2019,40,see full pipeline output
DIS,2020,40,see full pipeline output
DIS,2021,40,see full pipeline output
DIS,2022,40,see full pipeline output
DIS,2023,40,see full pipeline output
DIS,2024,40,see full pipeline output
DIS,2025,40,see full pipeline output
IUI,2019,40,see full pipeline output
IUI,2020,40,see full pipeline output
IUI,2021,40,see full pipeline output
IUI,2022,40,see full pipeline output
IUI,2023,40,see full pipeline output
IUI,2024,40,see full pipeline output
IUI,2025,40,see full pipeline output
TOCHI,2019,40,see full pipeline output
TOCHI,2020,40,see full pipeline output
TOCHI,2021,40,see full pipeline output
TOCHI,2022,40,see full pipeline output
TOCHI,2023,40,see full pipeline output
TOCHI,2024,40,see full pipeline output
TOCHI,2025,40,see full pipeline output
IJHCS,2019,40,see full pipeline output
IJHCS,2020,40,see full pipeline output
IJHCS,2021,40,see full pipeline output
IJHCS,2022,40,see full pipeline output
IJHCS,2023,40,see full pipeline output
IJHCS,2024,40,see full pipeline output
IJHCS,2025,40,see full pipeline output
IwC,2019,40,see full pipeline output
IwC,2020,40,see full pipeline output
IwC,2021,40,see full pipeline output
IwC,2022,40,see full pipeline output
IwC,2023,40,see full pipeline output
IwC,2024,40,see full pipeline output
IwC,2025,40,see full pipeline output
BIT,2019,40,see full pipeline output
BIT,2020,40,see full pipeline output
BIT,2021,40,see full pipeline output
BIT,2022,40,see full pipeline output
BIT,2023,40,see full pipeline output
BIT,2024,40,see full pipeline output
BIT,2025,40,see full pipeline output
HCI Journal,2019,40,see full pipeline output
HCI Journal,2020,40,see full pipeline output
HCI Journal,2021,40,see full pipeline output
HCI Journal,2022,40,see full pipeline output
HCI Journal,2023,40,see full pipeline output
HCI Journal,2024,40,see full pipeline output
HCI Journal,2025,40,see full pipeline output
IJHCI,2019,40,see full pipeline output
IJHCI,2020,40,see full pipeline output
IJHCI,2021,40,see full pipeline output
IJHCI,2022,40,see full pipeline output
IJHCI,2023,40,see full pipeline output
IJHCI,2024,40,see full pipeline output
IJHCI,2025,40,see full pipeline output
